id;date;price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;grade;sqft_above;sqft_basement;yr_built;yr_renovated;zipcode;lat;long;sqft_living15;sqft_lot15
6865200140;20140529T000000;485000;4;1;1600;4300;1.5;0;0;4;7;1600;0;1916;0;98103;476.648;-122.343;1610;4300
3362400511;20150304T000000;570000;3;1.75;1260;3328;1;0;0;5;6;700;560;1905;0;98103;476.823;-122.349;1380;3536
3362400431;20140626T000000;518500;3;3.5;1590;1102;3;0;0;3;8;1590;0;2010;0;98103;476.824;-122.347;1620;3166
2331300505;20140613T000000;822500;5;3.5;2320;4960;2;0;0;5;7;1720;600;1926;0;98103;476.763;-122.352;1700;4960
1994200024;20141104T000000;511000;3;1;1430;3455;1;0;0;3;7;980;450;1947;0;98103;476.873;-122.336;1450;4599
3362900810;20140820T000000;532170;3;2;1360;3090;2;0;0;3;8;1360;0;1990;0;98103;476.838;-122.353;1500;3090
2264500350;20150418T000000;615000;4;1;1330;2400;1.5;0;0;4;6;1330;0;1901;0;98103;47.65;-122.34;1330;4400
9468200125;20140826T000000;480000;2;1;1030;3060;1;0;2;4;7;790;240;1918;0;98103;476.779;-122.353;1390;3060
3797001895;20150422T000000;481000;3;1.75;1560;3000;1;0;0;4;6;770;790;1918;0;98103;476.846;-122.345;1390;3000
9521101455;20140723T000000;548000;2;1;1470;3864;1;0;0;4;7;1170;300;1916;0;98103;476.638;-122.345;1570;3864
9550201550;20150408T000000;640000;2;1;1070;5000;1;0;0;3;7;1070;0;1924;0;98103;476.666;-122.331;1710;5000
2877103726;20140722T000000;791500;4;2;1510;3500;1.5;0;0;5;7;1510;0;1911;0;98103;476.794;-122.357;1820;3750
3363900111;20141203T000000;437500;2;1;990;3120;1;0;2;5;7;790;200;1907;0;98103;47.68;-122.353;1930;3120
7821200390;20140806T000000;450000;3;2;1290;1213;3;0;0;3;8;1290;0;2001;0;98103;476.609;-122.344;1290;3235
625049299;20141203T000000;482000;2;1;950;3960;1;0;0;3;7;950;0;1941;0;98103;476.885;-122.337;1320;4050
3454000060;20140722T000000;1,00E+06;4;2.5;2610;3277;1.5;0;0;5;8;1920;690;1922;0;98103;476.636;-122.33;1810;3277
5694500105;20141204T000000;595000;2;2;1510;4000;1;0;0;4;7;1010;500;1900;0;98103;476.582;-122.345;1920;4000
6431500140;20141217T000000;880000;3;2.5;2870;5163;2;0;0;3;9;2870;0;2014;0;98103;476.935;-122.352;1630;7995
6865200444;20140505T000000;531000;2;3;1270;1175;2;0;0;3;8;1110;160;2000;0;98103;476.634;-122.34;1290;1800
3126049411;20141209T000000;340000;2;2.5;1100;1760;3;0;0;3;7;1100;0;1997;0;98103;476.972;-122.35;1200;1415
6431000270;20140728T000000;565000;2;1;960;4080;1;0;0;5;7;960;0;1911;0;98103;476.893;-122.349;1300;4080
5693500270;20150121T000000;715000;4;1;2000;4800;2;0;0;4;7;2000;0;1911;0;98103;476.583;-122.351;1260;1452
4083305445;20140815T000000;650000;3;2;1340;2720;1.5;0;0;3;7;1340;0;1913;0;98103;476.518;-122.335;2030;4590
3362400640;20150512T000000;825000;3;1.75;2010;3090;1.5;0;0;5;7;1510;500;1926;0;98103;47.682;-122.348;1600;3150
510002519;20140715T000000;466000;2;1.5;1140;1058;3;0;0;3;7;1140;0;2005;0;98103;476.608;-122.333;1170;1116
7517500611;20140521T000000;720000;3;2.5;2020;1159;3;0;3;3;8;2020;0;2000;0;98103;476.617;-122.356;1920;3600
510002065;20150323T000000;700000;4;1;1980;4560;1.5;0;0;3;7;1980;0;1920;0;98103;476.606;-122.331;1810;3245
4310700570;20141210T000000;280300;2;1;920;5000;1;0;0;4;6;490;430;1949;0;98103;477.008;-122.338;1500;5000
789000550;20150413T000000;415000;3;1.75;1480;2200;2;0;0;3;7;1480;0;1995;0;98103;476.969;-122.35;1360;2190
9178600560;20140623T000000;690000;2;1;970;4560;1;0;0;4;7;970;0;1907;0;98103;476.561;-122.332;1500;4560
3797000295;20150312T000000;492000;2;1;880;2970;1;0;0;3;7;880;0;1927;0;98103;476.868;-122.349;1370;3060
3797001920;20140702T000000;310000;2;1;700;3000;1;0;0;4;6;700;0;1918;0;98103;476.846;-122.346;1560;4500
993001629;20141117T000000;265000;3;2.75;1120;881;3;0;0;3;8;1120;0;1999;0;98103;476.914;-122.343;1120;1087
4310701600;20141113T000000;340000;3;2.5;1240;1115;3;0;0;3;8;1240;0;2003;0;98103;476.985;-122.34;1410;1355
6772200055;20140917T000000;780000;4;3;2440;3600;1.5;0;0;5;8;1480;960;1929;0;98103;476.853;-122.331;1770;4000
9468200140;20140819T000000;450000;2;1.75;1250;2890;1;0;0;4;7;790;460;1920;0;98103;476.795;-122.353;1500;3225
8032700140;20141028T000000;830000;5;3;2920;2808;2;0;0;3;8;2140;780;1960;1992;98103;47.654;-122.342;1620;1544
9473200105;20140924T000000;425000;2;1;2110;4920;1.5;0;0;3;7;1460;650;1911;0;98103;476.872;-122.339;1390;4732
9178601000;20140730T000000;715000;3;2;1760;5400;1;0;0;5;7;1160;600;1927;0;98103;476.558;-122.331;1640;5400
625049286;20140815T000000;640000;3;1;1530;4944;1;0;0;3;7;1530;0;1950;0;98103;476.857;-122.341;1500;4944
5694000710;20141107T000000;352950;3;1;1760;3000;1.5;0;0;1;6;1760;0;1900;0;98103;476.598;-122.348;1320;1266
9550200310;20140811T000000;495000;2;1;970;4284;1;0;0;3;7;970;0;1905;0;98103;476.667;-122.333;2050;4284
6690500320;20141027T000000;650000;3;1;1710;5992;1.5;0;0;4;7;1560;150;1928;0;98103;476.861;-122.354;1240;3001
1972201820;20141016T000000;610000;4;2;2130;2620;1.5;0;0;5;7;1650;480;1919;0;98103;476.515;-122.346;1330;2719
1529300435;20141120T000000;440000;3;1;1610;5500;1.5;0;0;3;7;1610;0;1903;1973;98103;47.698;-122.351;1200;5701
9521100960;20150116T000000;635000;4;1.5;2820;4000;2;0;0;3;7;2820;0;1911;0;98103;476.638;-122.348;1470;1627
9550202010;20140710T000000;775000;6;2.75;2980;5000;1.5;0;0;3;7;2480;500;1916;0;98103;476.684;-122.331;1470;5000
2883200966;20150318T000000;780000;5;1.5;1940;4800;2;0;0;3;8;1940;0;1905;0;98103;476.845;-122.332;1750;4800
9521101221;20140519T000000;487250;4;2;1690;3250;1.5;0;0;3;7;1550;140;1901;0;98103;476.637;-122.346;1620;3250
2264500890;20140508T000000;712000;3;1;1250;4620;1.5;0;0;4;7;1150;100;1900;0;98103;47.651;-122.341;1900;4400
4083306175;20150401T000000;805000;3;1.75;1080;3200;1;0;0;4;7;880;200;1926;0;98103;476.503;-122.338;1780;5200
2402100575;20140613T000000;1,13E+09;6;3.75;3010;4360;2;0;0;3;9;2000;1010;2014;0;98103;476.873;-122.333;1600;5160
6430500186;20141104T000000;800000;4;1.5;1790;3952;1.5;0;0;4;8;1790;0;1932;0;98103;47.689;-122.352;1200;3876
1972202080;20140710T000000;725000;2;1.75;1950;2719;1;0;0;5;7;1010;940;1919;0;98103;476.513;-122.346;1360;1256
3856901525;20141001T000000;627500;4;1;1560;4080;1.5;0;0;3;7;1560;0;1923;0;98103;476.711;-122.331;1890;4080
993002325;20140623T000000;430000;2;1.5;950;4625;1;0;0;4;7;950;0;1949;0;98103;476.912;-122.34;1440;4625
3856901715;20140924T000000;470450;2;1;1010;3400;1;0;0;3;7;1010;0;1921;0;98103;476.711;-122.329;1800;3600
4083800340;20150402T000000;462000;5;2;1380;4300;1.5;0;0;3;7;1380;0;1916;0;98103;476.647;-122.337;1830;3800
9178600135;20140826T000000;800000;4;2;2130;2800;1;0;0;5;7;1070;1060;1922;0;98103;476.545;-122.333;1990;3990
9551202025;20140625T000000;800000;2;1;1740;5719;1;0;0;3;8;1740;0;1955;0;98103;476.729;-122.335;1980;5000
9521100106;20140826T000000;440000;4;1;1780;4000;1.5;0;0;3;7;1780;0;1922;0;98103;476.624;-122.354;1750;4000
1529300160;20140619T000000;405000;2;1;1260;4377;1;0;0;4;7;1260;0;1947;0;98103;476.988;-122.354;1420;6376
3047700105;20150423T000000;990000;4;3.75;3450;4940;2;0;0;3;10;2570;880;2006;0;98103;47.692;-122.338;1880;5387
1930301555;20140701T000000;500000;2;1;950;4500;1;0;2;3;7;850;100;1926;0;98103;476.562;-122.354;1670;4000
993000046;20140922T000000;510000;3;2;1600;4510;1;0;0;3;7;990;610;1978;0;98103;476.939;-122.34;1580;4561
4459800070;20140718T000000;679000;4;1.5;1420;4923;1.5;0;0;4;8;1420;0;1928;0;98103;476.901;-122.339;1470;4923
3126049094;20141112T000000;392450;4;2;2195;2681;1;0;0;3;7;1060;1135;1912;0;98103;476.965;-122.342;1710;1280
3797000830;20140530T000000;425000;3;1.75;1680;3000;1;0;2;4;6;840;840;1900;0;98103;47.686;-122.346;1540;3700
